home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,matchdate,period,location,season,competition,home_score,away_score,bet_won,target,odd_win,best_odd_won
Arsenal,Everton,5:1,1.34,5.5,8.98,2022-05-22,2022-05,england,2022,premier-league-2021,5.0,1.0,1,0.0,1.34,True
Brentford,Leeds,1:2,2.32,3.79,2.88,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.88,False
Brighton,West Ham,3:1,2.66,3.46,2.65,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,1.0,1,0.0,2.66,False
Burnley,Newcastle,1:2,2.47,3.27,3.01,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,3.01,False
Chelsea,Watford,2:1,1.19,7.41,15.39,2022-05-22,2022-05,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.19,True
Crystal Palace,Manchester Utd,1:0,2.81,3.47,2.5,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.81,False
Leicester,Southampton,4:1,1.7,4.26,4.54,2022-05-22,2022-05,england,2022,premier-league-2021,4.0,1.0,1,0.0,1.7,True
Liverpool,Wolves,3:1,1.13,9.19,19.26,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,1.0,1,0.0,1.13,True
Manchester City,Aston Villa,3:2,1.17,8.21,15.57,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,2.0,1,0.0,1.17,True
Norwich,Tottenham,0:5,9.94,5.55,1.31,2022-05-22,2022-05,england,2022,premier-league-2021,0.0,5.0,2,2.0,1.31,True
Everton,Crystal Palace,3:2,1.86,3.5,4.58,2022-05-19,2022-05,england,2022,premier-league-2021,3.0,2.0,1,0.0,1.86,True
Chelsea,Leicester,1:1,1.42,4.91,7.5,2022-05-19,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.91,False
Aston Villa,Burnley,1:1,2.03,3.46,3.85,2022-05-19,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.46,False
Southampton,Liverpool,1:2,6.64,4.9,1.46,2022-05-17,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,1.46,True
Newcastle,Arsenal,2:0,4.28,3.78,1.84,2022-05-16,2022-05,england,2022,premier-league-2021,2.0,0.0,1,0.0,4.28,False
Aston Villa,Crystal Palace,1:1,1.84,3.56,4.54,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.56,False
Everton,Brentford,2:3,1.9,3.6,4.22,2022-05-15,2022-05,england,2022,premier-league-2021,2.0,3.0,2,2.0,4.22,False
Leeds,Brighton,1:1,2.64,3.45,2.68,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.45,False
Tottenham,Burnley,1:0,1.31,5.54,10.28,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.31,True
Watford,Leicester,1:5,5.12,3.95,1.69,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,5.0,2,2.0,1.69,True
West Ham,Manchester City,2:2,7.94,5.18,1.38,2022-05-15,2022-05,england,2022,premier-league-2021,2.0,2.0,N,1.0,5.18,False
Wolves,Norwich,1:1,1.54,4.43,6.05,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.43,False
Tottenham,Arsenal,3:0,2.28,3.45,3.21,2022-05-12,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,2.28,True
Leeds,Chelsea,0:3,4.87,4.11,1.68,2022-05-11,2022-05,england,2022,premier-league-2021,0.0,3.0,2,2.0,1.68,True
Wolves,Manchester City,1:5,11.97,6.14,1.26,2022-05-11,2022-05,england,2022,premier-league-2021,1.0,5.0,2,2.0,1.26,True
Watford,Everton,0:0,5.71,3.77,1.66,2022-05-11,2022-05,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.77,False
Leicester,Norwich,3:0,1.33,5.6,9.12,2022-05-11,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,1.33,True
Aston Villa,Liverpool,1:2,6.39,4.52,1.51,2022-05-10,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,1.51,True
Arsenal,Leeds,2:1,1.52,4.51,6.18,2022-05-08,2022-05,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.52,True
Leicester,Everton,1:2,2.65,3.25,2.8,2022-05-08,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.8,False
Manchester City,Newcastle,5:0,1.18,7.85,16.22,2022-05-08,2022-05,england,2022,premier-league-2021,5.0,0.0,1,0.0,1.18,True
Norwich,West Ham,0:4,4.85,4.01,1.7,2022-05-08,2022-05,england,2022,premier-league-2021,0.0,4.0,2,2.0,1.7,True
Brentford,Southampton,3:0,2.11,3.51,3.53,2022-05-07,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,2.11,True
Brighton,Manchester Utd,4:0,3.03,3.34,2.44,2022-05-07,2022-05,england,2022,premier-league-2021,4.0,0.0,1,0.0,3.03,False
Burnley,Aston Villa,1:3,3.09,3.16,2.48,2022-05-07,2022-05,england,2022,premier-league-2021,1.0,3.0,2,2.0,2.48,True
Chelsea,Wolves,2:2,1.37,4.89,9.21,2022-05-07,2022-05,england,2022,premier-league-2021,2.0,2.0,N,1.0,4.89,False
Crystal Palace,Watford,1:0,1.68,3.82,5.39,2022-05-07,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.68,True
Liverpool,Tottenham,1:1,1.43,5.08,7.0,2022-05-07,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,5.08,False
Manchester Utd,Brentford,3:0,1.76,3.95,4.55,2022-05-02,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,1.76,True
Everton,Chelsea,1:0,5.07,3.83,1.72,2022-05-01,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,5.07,False
Tottenham,Leicester,3:1,1.36,5.29,8.9,2022-05-01,2022-05,england,2022,premier-league-2021,3.0,1.0,1,0.0,1.36,True
West Ham,Arsenal,1:2,4.43,3.92,1.79,2022-05-01,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,1.79,True
Aston Villa,Norwich,2:0,1.42,4.82,7.83,2022-04-30,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.42,True
Leeds,Manchester City,0:4,9.56,5.76,1.31,2022-04-30,2022-04,england,2022,premier-league-2021,0.0,4.0,2,2.0,1.31,True
Newcastle,Liverpool,0:1,6.48,4.33,1.53,2022-04-30,2022-04,england,2022,premier-league-2021,0.0,1.0,2,2.0,1.53,True
Southampton,Crystal Palace,1:2,2.46,3.16,3.14,2022-04-30,2022-04,england,2022,premier-league-2021,1.0,2.0,2,2.0,3.14,False
Watford,Burnley,1:2,2.63,3.2,2.87,2022-04-30,2022-04,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.87,False
Wolves,Brighton,0:3,2.75,2.99,2.93,2022-04-30,2022-04,england,2022,premier-league-2021,0.0,3.0,2,2.0,2.93,False
Manchester Utd,Chelsea,1:1,3.51,3.62,2.08,2022-04-28,2022-04,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.62,False
Crystal Palace,Leeds,0:0,2.42,3.43,2.98,2022-04-25,2022-04,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.43,False
Brighton,Southampton,2:2,2.08,3.38,3.8,2022-04-24,2022-04,england,2022,premier-league-2021,2.0,2.0,N,1.0,3.38,False
Burnley,Wolves,1:0,2.54,3.13,3.06,2022-04-24,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.54,True
Chelsea,West Ham,1:0,1.42,4.8,7.9,2022-04-24,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.42,True
Liverpool,Everton,2:0,1.19,7.36,15.09,2022-04-24,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.19,True
Arsenal,Manchester Utd,3:1,2.04,3.64,3.63,2022-04-23,2022-04,england,2022,premier-league-2021,3.0,1.0,1,0.0,2.04,True
Brentford,Tottenham,0:0,4.82,3.95,1.72,2022-04-23,2022-04,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.95,False
Leicester,Aston Villa,0:0,2.96,3.36,2.47,2022-04-23,2022-04,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.36,False
Manchester City,Watford,5:1,1.11,10.11,24.68,2022-04-23,2022-04,england,2022,premier-league-2021,5.0,1.0,1,0.0,1.11,True
Norwich,Newcastle,0:3,3.46,3.3,2.22,2022-04-23,2022-04,england,2022,premier-league-2021,0.0,3.0,2,2.0,2.22,True
Burnley,Southampton,2:0,2.64,3.34,2.76,2022-04-21,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,2.64,True
Manchester City,Brighton,3:0,1.23,6.44,14.15,2022-04-20,2022-04,england,2022,premier-league-2021,3.0,0.0,1,0.0,1.23,True
Newcastle,Crystal Palace,1:0,2.28,3.2,3.44,2022-04-20,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.28,True
Chelsea,Arsenal,2:4,1.91,3.48,4.34,2022-04-20,2022-04,england,2022,premier-league-2021,2.0,4.0,2,2.0,4.34,False
Everton,Leicester,1:1,2.56,3.31,2.88,2022-04-20,2022-04,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.31,False
Liverpool,Manchester Utd,4:0,1.34,5.64,8.59,2022-04-19,2022-04,england,2022,premier-league-2021,4.0,0.0,1,0.0,1.34,True
Newcastle,Leicester,2:1,2.03,3.53,3.76,2022-04-17,2022-04,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.03,True
West Ham,Burnley,1:1,1.79,3.72,4.69,2022-04-17,2022-04,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.72,False
Manchester Utd,Norwich,3:2,1.28,6.27,10.24,2022-04-16,2022-04,england,2022,premier-league-2021,3.0,2.0,1,0.0,1.28,True
Southampton,Arsenal,1:0,3.99,3.7,1.93,2022-04-16,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,3.99,False
Tottenham,Brighton,0:1,1.51,4.44,6.46,2022-04-16,2022-04,england,2022,premier-league-2021,0.0,1.0,2,2.0,6.46,False
Watford,Brentford,1:2,2.95,3.31,2.5,2022-04-16,2022-04,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.5,True
Brentford,West Ham,2:0,2.7,3.26,2.74,2022-04-10,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,2.7,True
Leicester,Crystal Palace,2:1,2.5,3.27,2.97,2022-04-10,2022-04,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.5,True
Manchester City,Liverpool,2:2,1.97,3.73,3.76,2022-04-10,2022-04,england,2022,premier-league-2021,2.0,2.0,N,1.0,3.73,False
Norwich,Burnley,2:0,3.12,3.35,2.36,2022-04-10,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,3.12,False
Arsenal,Brighton,1:2,1.64,3.75,6.06,2022-04-09,2022-04,england,2022,premier-league-2021,1.0,2.0,2,2.0,6.06,False
Aston Villa,Tottenham,0:4,3.35,3.51,2.19,2022-04-09,2022-04,england,2022,premier-league-2021,0.0,4.0,2,2.0,2.19,True
Everton,Manchester Utd,1:0,4.01,3.78,1.9,2022-04-09,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,4.01,False
Southampton,Chelsea,0:6,3.81,3.58,2.0,2022-04-09,2022-04,england,2022,premier-league-2021,0.0,6.0,2,2.0,2.0,True
Watford,Leeds,0:3,2.8,3.42,2.55,2022-04-09,2022-04,england,2022,premier-league-2021,0.0,3.0,2,2.0,2.55,True
Newcastle,Wolves,1:0,2.0,3.28,4.24,2022-04-08,2022-04,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.0,True
Burnley,Everton,3:2,2.55,3.09,3.06,2022-04-06,2022-04,england,2022,premier-league-2021,3.0,2.0,1,0.0,2.55,True
Crystal Palace,Arsenal,3:0,4.03,3.38,2.01,2022-04-04,2022-04,england,2022,premier-league-2021,3.0,0.0,1,0.0,4.03,False
Tottenham,Newcastle,5:1,1.55,4.22,6.23,2022-04-03,2022-04,england,2022,premier-league-2021,5.0,1.0,1,0.0,1.55,True
West Ham,Everton,2:1,1.79,3.75,4.68,2022-04-03,2022-04,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.79,True
Brighton,Norwich,0:0,1.5,4.22,7.32,2022-04-02,2022-04,england,2022,premier-league-2021,0.0,0.0,N,1.0,4.22,False
Burnley,Manchester City,0:2,16.6,6.92,1.2,2022-04-02,2022-04,england,2022,premier-league-2021,0.0,2.0,2,2.0,1.2,True
Chelsea,Brentford,1:4,1.4,4.66,9.02,2022-04-02,2022-04,england,2022,premier-league-2021,1.0,4.0,2,2.0,9.02,False
Leeds,Southampton,1:1,2.44,3.59,2.82,2022-04-02,2022-04,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.59,False
Liverpool,Watford,2:0,1.16,8.31,17.59,2022-04-02,2022-04,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.16,True
Manchester Utd,Leicester,1:1,1.57,4.39,5.65,2022-04-02,2022-04,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.39,False
Wolves,Aston Villa,2:1,3.05,3.07,2.58,2022-04-02,2022-04,england,2022,premier-league-2021,2.0,1.0,1,0.0,3.05,False
Leicester,Brentford,2:1,2.13,3.38,3.59,2022-03-20,2022-03,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.13,True
Tottenham,West Ham,3:1,1.72,3.81,5.13,2022-03-20,2022-03,england,2022,premier-league-2021,3.0,1.0,1,0.0,1.72,True
Aston Villa,Arsenal,0:1,2.97,3.39,2.46,2022-03-19,2022-03,england,2022,premier-league-2021,0.0,1.0,2,2.0,2.46,True
Wolves,Leeds,2:3,2.22,3.35,3.43,2022-03-18,2022-03,england,2022,premier-league-2021,2.0,3.0,2,2.0,3.43,False
Everton,Newcastle,1:0,2.42,3.2,3.18,2022-03-17,2022-03,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.42,True
Arsenal,Liverpool,0:2,3.59,3.64,2.05,2022-03-16,2022-03,england,2022,premier-league-2021,0.0,2.0,2,2.0,2.05,True
Brighton,Tottenham,0:2,3.64,3.39,2.12,2022-03-16,2022-03,england,2022,premier-league-2021,0.0,2.0,2,2.0,2.12,True
Crystal Palace,Manchester City,0:0,9.84,5.4,1.33,2022-03-14,2022-03,england,2022,premier-league-2021,0.0,0.0,N,1.0,5.4,False
Arsenal,Leicester,2:0,1.42,4.9,7.47,2022-03-13,2022-03,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.42,True
Chelsea,Newcastle,1:0,1.4,4.82,8.31,2022-03-13,2022-03,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.4,True
Everton,Wolves,0:1,2.27,3.12,3.57,2022-03-13,2022-03,england,2022,premier-league-2021,0.0,1.0,2,2.0,3.57,False
Leeds,Norwich,2:1,1.62,4.19,5.41,2022-03-13,2022-03,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.62,True
Southampton,Watford,1:2,1.66,4.06,5.29,2022-03-13,2022-03,england,2022,premier-league-2021,1.0,2.0,2,2.0,5.29,False
West Ham,Aston Villa,2:1,2.5,3.28,2.96,2022-03-13,2022-03,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.5,True
Brentford,Burnley,2:0,2.11,3.27,3.79,2022-03-12,2022-03,england,2022,premier-league-2021,2.0,0.0,1,0.0,2.11,True
Brighton,Liverpool,0:2,6.8,4.63,1.47,2022-03-12,2022-03,england,2022,premier-league-2021,0.0,2.0,2,2.0,1.47,True
Manchester Utd,Tottenham,3:2,2.32,3.51,3.09,2022-03-12,2022-03,england,2022,premier-league-2021,3.0,2.0,1,0.0,2.32,True
Norwich,Chelsea,1:3,9.61,4.91,1.36,2022-03-10,2022-03,england,2022,premier-league-2021,1.0,3.0,2,2.0,1.36,True
Southampton,Newcastle,1:2,1.96,3.55,4.04,2022-03-10,2022-03,england,2022,premier-league-2021,1.0,2.0,2,2.0,4.04,False
Leeds,Aston Villa,0:3,2.84,3.57,2.44,2022-03-10,2022-03,england,2022,premier-league-2021,0.0,3.0,2,2.0,2.44,True
Wolves,Watford,4:0,1.93,3.43,4.35,2022-03-10,2022-03,england,2022,premier-league-2021,4.0,0.0,1,0.0,1.93,True
Tottenham,Everton,5:0,1.72,3.92,4.95,2022-03-07,2022-03,england,2022,premier-league-2021,5.0,0.0,1,0.0,1.72,True
Manchester City,Manchester Utd,4:1,1.4,5.03,7.74,2022-03-06,2022-03,england,2022,premier-league-2021,4.0,1.0,1,0.0,1.4,True
Watford,Arsenal,2:3,6.63,4.25,1.53,2022-03-06,2022-03,england,2022,premier-league-2021,2.0,3.0,2,2.0,1.53,True
Aston Villa,Southampton,4:0,2.23,3.54,3.23,2022-03-05,2022-03,england,2022,premier-league-2021,4.0,0.0,1,0.0,2.23,True
Burnley,Chelsea,0:4,7.41,4.06,1.51,2022-03-05,2022-03,england,2022,premier-league-2021,0.0,4.0,2,2.0,1.51,True
Leicester,Leeds,1:0,2.03,3.79,3.54,2022-03-05,2022-03,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.03,True
Liverpool,West Ham,1:0,1.25,6.63,11.22,2022-03-05,2022-03,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.25,True
Newcastle,Brighton,2:1,2.66,3.11,2.91,2022-03-05,2022-03,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.66,True
Norwich,Brentford,1:3,3.11,3.15,2.46,2022-03-05,2022-03,england,2022,premier-league-2021,1.0,3.0,2,2.0,2.46,True
Wolves,Crystal Palace,0:2,2.37,3.0,3.48,2022-03-05,2022-03,england,2022,premier-league-2021,0.0,2.0,2,2.0,3.48,False
Burnley,Leicester,0:2,2.91,3.28,2.53,2022-03-01,2022-03,england,2022,premier-league-2021,0.0,2.0,2,2.0,2.53,True
West Ham,Wolves,1:0,1.93,3.33,4.51,2022-02-27,2022-02,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.93,True
Brentford,Newcastle,0:2,2.36,3.1,3.39,2022-02-26,2022-02,england,2022,premier-league-2021,0.0,2.0,2,2.0,3.39,False
Brighton,Aston Villa,0:2,2.21,3.26,3.51,2022-02-26,2022-02,england,2022,premier-league-2021,0.0,2.0,2,2.0,3.51,False
Crystal Palace,Burnley,1:1,1.91,3.32,4.61,2022-02-26,2022-02,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.32,False
Everton,Manchester City,0:1,12.54,6.3,1.25,2022-02-26,2022-02,england,2022,premier-league-2021,0.0,1.0,2,2.0,1.25,True
Leeds,Tottenham,0:4,3.74,3.79,1.96,2022-02-26,2022-02,england,2022,premier-league-2021,0.0,4.0,2,2.0,1.96,True
Manchester Utd,Watford,0:0,1.37,5.02,8.62,2022-02-26,2022-02,england,2022,premier-league-2021,0.0,0.0,N,1.0,5.02,False
Southampton,Norwich,2:0,1.5,4.45,6.62,2022-02-25,2022-02,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.5,True
Arsenal,Wolves,2:1,1.67,3.69,5.83,2022-02-24,2022-02,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.67,True
Liverpool,Leeds,6:0,1.18,8.13,14.54,2022-02-23,2022-02,england,2022,premier-league-2021,6.0,0.0,1,0.0,1.18,True
Watford,Crystal Palace,1:4,2.95,3.1,2.63,2022-02-23,2022-02,england,2022,premier-league-2021,1.0,4.0,2,2.0,2.63,True
Burnley,Tottenham,1:0,4.61,3.61,1.83,2022-02-23,2022-02,england,2022,premier-league-2021,1.0,0.0,1,0.0,4.61,False
Leeds,Manchester Utd,2:4,4.81,4.14,1.69,2022-02-20,2022-02,england,2022,premier-league-2021,2.0,4.0,2,2.0,1.69,True
Wolves,Leicester,2:1,2.2,3.23,3.61,2022-02-20,2022-02,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.2,True
Arsenal,Brentford,2:1,1.54,3.91,7.16,2022-02-19,2022-02,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.54,True
Aston Villa,Watford,0:1,1.65,3.93,5.54,2022-02-19,2022-02,england,2022,premier-league-2021,0.0,1.0,2,2.0,5.54,False
Brighton,Burnley,0:3,1.63,3.76,6.2,2022-02-19,2022-02,england,2022,premier-league-2021,0.0,3.0,2,2.0,6.2,False
Crystal Palace,Chelsea,0:1,5.61,3.71,1.68,2022-02-19,2022-02,england,2022,premier-league-2021,0.0,1.0,2,2.0,1.68,True
Liverpool,Norwich,3:1,1.13,9.36,22.42,2022-02-19,2022-02,england,2022,premier-league-2021,3.0,1.0,1,0.0,1.13,True
Manchester City,Tottenham,2:3,1.27,6.11,10.85,2022-02-19,2022-02,england,2022,premier-league-2021,2.0,3.0,2,2.0,10.85,False
Southampton,Everton,2:0,2.08,3.54,3.6,2022-02-19,2022-02,england,2022,premier-league-2021,2.0,0.0,1,0.0,2.08,True
West Ham,Newcastle,1:1,1.65,4.02,5.41,2022-02-19,2022-02,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.02,False
Manchester Utd,Brighton,2:0,1.85,3.56,4.56,2022-02-15,2022-02,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.85,True
Burnley,Liverpool,0:1,12.97,6.7,1.23,2022-02-13,2022-02,england,2022,premier-league-2021,0.0,1.0,2,2.0,1.23,True
Leicester,West Ham,2:2,2.88,3.49,2.45,2022-02-13,2022-02,england,2022,premier-league-2021,2.0,2.0,N,1.0,3.49,False
Newcastle,Aston Villa,1:0,2.78,3.38,2.59,2022-02-13,2022-02,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.78,False
Tottenham,Wolves,0:2,1.69,3.69,5.55,2022-02-13,2022-02,england,2022,premier-league-2021,0.0,2.0,2,2.0,5.55,False
Brentford,Crystal Palace,0:0,2.92,3.07,2.69,2022-02-12,2022-02,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.07,False
Everton,Leeds,3:0,2.5,3.55,2.8,2022-02-12,2022-02,england,2022,premier-league-2021,3.0,0.0,1,0.0,2.5,True
Manchester Utd,Southampton,1:1,1.56,4.47,5.7,2022-02-12,2022-02,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.47,False
Norwich,Manchester City,0:4,16.1,7.31,1.19,2022-02-12,2022-02,england,2022,premier-league-2021,0.0,4.0,2,2.0,1.19,True
Watford,Brighton,0:2,3.77,3.28,2.12,2022-02-12,2022-02,england,2022,premier-league-2021,0.0,2.0,2,2.0,2.12,True
Liverpool,Leicester,2:0,1.21,7.27,12.93,2022-02-10,2022-02,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.21,True
Wolves,Arsenal,0:1,3.69,3.18,2.21,2022-02-10,2022-02,england,2022,premier-league-2021,0.0,1.0,2,2.0,2.21,True
Aston Villa,Leeds,3:3,1.92,3.81,3.92,2022-02-09,2022-02,england,2022,premier-league-2021,3.0,3.0,N,1.0,3.81,False
Manchester City,Brentford,2:0,1.09,10.94,30.13,2022-02-09,2022-02,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.09,True
Norwich,Crystal Palace,1:1,3.54,3.25,2.22,2022-02-09,2022-02,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.25,False
Tottenham,Southampton,2:3,1.58,4.18,5.82,2022-02-09,2022-02,england,2022,premier-league-2021,2.0,3.0,2,2.0,5.82,False
Burnley,Manchester Utd,1:1,6.22,4.2,1.56,2022-02-08,2022-02,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.2,False
Newcastle,Everton,3:1,2.51,3.34,2.91,2022-02-08,2022-02,england,2022,premier-league-2021,3.0,1.0,1,0.0,2.51,True
West Ham,Watford,1:0,1.54,4.25,6.42,2022-02-08,2022-02,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.54,True
Burnley,Watford,0:0,2.19,3.26,3.6,2022-02-05,2022-02,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.26,False
Arsenal,Burnley,0:0,1.3,5.39,11.11,2022-01-23,2022-01,england,2022,premier-league-2021,0.0,0.0,N,1.0,5.39,False
Chelsea,Tottenham,2:0,1.73,3.78,5.03,2022-01-23,2022-01,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.73,True
Crystal Palace,Liverpool,1:3,5.92,4.16,1.57,2022-01-23,2022-01,england,2022,premier-league-2021,1.0,3.0,2,2.0,1.57,True
Leicester,Brighton,1:1,2.58,3.42,2.76,2022-01-23,2022-01,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.42,False
Brentford,Wolves,1:2,2.47,3.05,3.22,2022-01-22,2022-01,england,2022,premier-league-2021,1.0,2.0,2,2.0,3.22,False
Everton,Aston Villa,0:1,2.73,3.4,2.63,2022-01-22,2022-01,england,2022,premier-league-2021,0.0,1.0,2,2.0,2.63,True
Leeds,Newcastle,0:1,1.89,3.87,3.93,2022-01-22,2022-01,england,2022,premier-league-2021,0.0,1.0,2,2.0,3.93,False
Manchester Utd,West Ham,1:0,2.08,3.62,3.5,2022-01-22,2022-01,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.08,True
Southampton,Manchester City,1:1,10.78,5.99,1.28,2022-01-22,2022-01,england,2022,premier-league-2021,1.0,1.0,N,1.0,5.99,False
Watford,Norwich,0:3,2.03,3.52,3.76,2022-01-21,2022-01,england,2022,premier-league-2021,0.0,3.0,2,2.0,3.76,False
Brentford,Manchester Utd,1:3,4.55,3.7,1.81,2022-01-19,2022-01,england,2022,premier-league-2021,1.0,3.0,2,2.0,1.81,True
Leicester,Tottenham,2:3,3.2,3.4,2.28,2022-01-19,2022-01,england,2022,premier-league-2021,2.0,3.0,2,2.0,2.28,True
Brighton,Chelsea,1:1,5.54,3.77,1.67,2022-01-18,2022-01,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.77,False
Liverpool,Brentford,3:0,1.27,6.12,11.19,2022-01-16,2022-01,england,2022,premier-league-2021,3.0,0.0,1,0.0,1.27,True
West Ham,Leeds,2:3,1.67,4.21,4.87,2022-01-16,2022-01,england,2022,premier-league-2021,2.0,3.0,2,2.0,4.87,False
Aston Villa,Manchester Utd,2:2,2.54,3.49,2.78,2022-01-15,2022-01,england,2022,premier-league-2021,2.0,2.0,N,1.0,3.49,False
Manchester City,Chelsea,1:0,1.63,4.19,5.27,2022-01-15,2022-01,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.63,True
Newcastle,Watford,1:1,1.83,3.75,4.33,2022-01-15,2022-01,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.75,False
Norwich,Everton,2:1,3.4,3.31,2.24,2022-01-15,2022-01,england,2022,premier-league-2021,2.0,1.0,1,0.0,3.4,False
Wolves,Southampton,3:1,2.43,3.07,3.26,2022-01-15,2022-01,england,2022,premier-league-2021,3.0,1.0,1,0.0,2.43,True
Brighton,Crystal Palace,1:1,2.04,3.35,3.96,2022-01-14,2022-01,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.35,False
West Ham,Norwich,2:0,1.4,4.95,7.96,2022-01-12,2022-01,england,2022,premier-league-2021,2.0,0.0,1,0.0,1.4,True
Southampton,Brentford,4:1,2.18,3.31,3.56,2022-01-11,2022-01,england,2022,premier-league-2021,4.0,1.0,1,0.0,2.18,True
Manchester Utd,Wolves,0:1,1.67,3.77,5.57,2022-01-03,2022-01,england,2022,premier-league-2021,0.0,1.0,2,2.0,5.57,False
Brentford,Aston Villa,2:1,2.87,3.22,2.59,2022-01-02,2022-01,england,2022,premier-league-2021,2.0,1.0,1,0.0,2.87,False
Chelsea,Liverpool,2:2,2.6,3.48,2.68,2022-01-02,2022-01,england,2022,premier-league-2021,2.0,2.0,N,1.0,3.48,False
Everton,Brighton,2:3,2.84,3.11,2.7,2022-01-02,2022-01,england,2022,premier-league-2021,2.0,3.0,2,2.0,2.7,True
